#{"t_start": 1767956539.4536495, "env_id": "highway-v0"}
r,l,t
-3.699976,10,2001.29853
-0.58197,20,2016.266838
-1.492569,18,2029.951538
-1.792472,20,2043.798529
-3.998752,6,2049.467394
-4.25,4,2052.061003
0.955773,18,2062.88639
-3.251205,21,2075.738248
-4.161738,3,2077.698602
-4.542722,2,2079.685997
-3.248495,17,2092.196856
-2.741452,10,2099.318583
-1.551278,14,2109.837434
-2.792466,12,2117.477603
-4.050023,3,2119.456717
2.348472,30,2142.038486
-2.55152,6,2145.938828
4.051314,40,2165.234581
-3.663356,7,2168.689141
-4.163344,3,2170.152663
-1.008804,20,2183.752929
-3.051263,11,2191.848201
2.448472,32,2218.91479
-4.042722,4,2223.008164
-3.499992,18,2239.001249
-2.000206,28,2254.23672
2.051527,40,2273.788447
-3.800023,4,2275.730588
4.549766,40,2294.901702
-0.240456,21,2305.022892
3.301314,40,2324.314026
-4.257301,3,2325.801343
-3.698473,33,2341.884016
-1.292722,21,2352.02397
4.008797,40,2371.425948
-3.257514,5,2373.914347
-2.000001,11,2379.19208
-0.044182,15,2386.498968
-0.241061,24,2398.12057
-2.083328,22,2408.730174
-2.257294,13,2415.013556
2.551528,40,2434.289864
-3.991408,14,2441.015851
-4.083333,4,2442.97963
-2.301055,7,2446.41745
-4.257301,3,2447.900027
2.551485,40,2468.369757
4.198474,30,2488.943651
-2.301313,6,2492.792655
-2.948473,28,2512.26876
2.450234,40,2538.263727
-4.291474,4,2540.339593
-1.301526,18,2550.794285
-0.999794,21,2566.05927
-2.542465,23,2582.108362
-1.294225,34,2604.258066
-2.448473,21,2614.45085
0.001503,28,2628.136127
-1.55152,17,2636.371993
-4.542722,2,2637.382997
-0.55127,14,2644.169392
-2.258798,9,2648.568103
1.551278,40,2675.996124
-2.291225,12,2685.311004
-3.999787,6,2690.211104
-2.800023,8,2695.43724
-2.758548,8,2701.559586
-3.999743,8,2706.674068
-0.758804,21,2720.660095
3.008805,40,2744.108238
0.83639,18,2754.458457
-2.794219,6,2757.593951
1.55152,40,2780.996046
2.80028,40,2807.372119
6.957279,40,2836.312962
1.757345,40,2866.286993
-4.490434,2,2868.326605
-4.413677,3,2870.551017
1.801527,40,2895.519609
-3.799766,10,2903.519332
-3.248497,21,2917.188663
-1.83314,30,2938.194295
3.751505,40,2965.49895
-4.198766,6,2969.487142
-3.165515,5,2973.009041
-3.542722,6,2976.713089
-0.249956,35,2995.003198
-0.499743,26,3014.549009
1.251505,40,3050.615979
-4.241238,7,3055.670809
2.801528,40,3083.221654
-3.55127,3,3084.692944
-0.543969,30,3106.434647
-3.051484,5,3109.502451
-3.25,12,3117.76178
-4.94873,4,3121.439312
-0.801482,35,3148.160426
-4.244104,2,3149.806344
-3.05127,6,3154.448788
-1.794227,8,3160.425085
-1.700233,31,3178.866477
1.051527,40,3205.336398
0.801528,40,3233.650612
-2.30152,7,3238.661039
-2.448472,18,3248.024235
-3.081962,5,3250.625281
-3.008762,6,3253.752749
-3.457278,8,3257.853566
-3.948474,11,3263.548601
7.801528,40,3284.594855
0.457065,18,3293.824064
-4.207234,9,3300.498449
-4.042722,3,3302.310311
6.551485,40,3327.038247
-4.050023,3,3328.584161
5.458739,40,3358.495313
1.801272,40,3381.146263
-3.008762,6,3385.517991
-1.24975,25,3406.6459
-2.050015,19,3423.29057
-2.248539,13,3431.657332
-1.007336,34,3462.13956
-2.507257,16,3475.858525
-4.007301,4,3478.810035
-2.949935,11,3487.280136
-2.551269,16,3499.877247
-4.292722,3,3502.250812
2.501468,40,3536.879203
-2.199757,27,3551.757644
-1.741239,30,3572.641367
-1.081972,13,3582.122683
0.198731,39,3608.762165
-2.207278,11,3615.3141
1.051528,40,3639.026878
1.792766,40,3669.103607
0.55152,19,3680.374851
-3.198516,13,3688.535693
2.301526,40,3711.608365
-4.198722,12,3718.300062
-2.801234,29,3733.512034
0.801527,40,3753.821203
-4.050023,3,3755.358388
4.258805,40,3778.975095
5.500257,40,3803.853405
2.05003,40,3828.260428
3.041255,40,3853.447548
-0.698473,22,3867.307542
-0.590003,10,3873.340812
-0.508547,26,3889.429012
0.991237,26,3907.381818
-0.707535,35,3929.446805
1.050067,40,3954.38238
1.301527,40,3980.330876
3.75,40,4006.363075
-3.483695,8,4011.832467
1.301526,40,4037.053411
-3.007257,12,4044.750935
3.051482,40,4070.909557
-4.5,3,4072.886665
-1.799979,28,4089.687698
-2.249956,33,4115.182561
-4.257301,3,4117.337825
2.551272,40,4139.920443
-3.0799,25,4152.54074
